Title,Author,Category,Status,Why It Belongs
The Great Gatsby,F. Scott Fitzgerald,Fiction,Public Domain (2021),"Every sentence load-bearing. The green light means what it means because the whole book holds it."
Stories (selected),Anton Chekhov,Fiction,Public Domain,"Nothing wasted. ""The Lady with the Dog,"" ""The Darling,"" ""Gooseberries."" Constance Garnett translations are PD."
Ficciones,Jorge Luis Borges,Fiction,Need to Source,"Pure structure. ""The Library of Babel,"" ""Tlön,"" ""Pierre Menard."" Every story is a proof."
Dubliners,James Joyce,Fiction,Public Domain,"""The Dead"" especially — the snow falling on the living and the dead is earned by every paragraph before it."
Heart of Darkness,Joseph Conrad,Fiction,Public Domain,"The frame narrative constrains meaning. Marlow can't say it directly because the structure won't let him."
The Old Man and the Sea,Ernest Hemingway,Fiction,Need to Source,"Iceberg theory in practice — what's absent is load-bearing."
A Good Man Is Hard to Find,Flannery O'Connor,Fiction,Need to Source,"The violence earns itself through the whole structure. Grace as structural inevitability."
If on a winter's night a traveler,Italo Calvino,Fiction,Need to Source,"The structure IS the content. Self-referential constraint."
Pedro Páramo,Juan Rulfo,Fiction,Need to Source,"The dead speaking to the dead. The fragmentation is the form of the content."
Invisible Cities,Italo Calvino,Fiction,Need to Source,"Each city is a proof. The frame (Marco Polo / Kublai Khan) constrains all of them."
The Stranger,Albert Camus,Fiction,Need to Source,"The flat prose IS the philosophical argument. Form enacting content."
Notes from Underground,Fyodor Dostoevsky,Fiction,Public Domain,"The contradiction is the structure. The narrator can't escape himself and the form shows why."
The Brothers Karamazov,Fyodor Dostoevsky,Fiction,Public Domain,"The Grand Inquisitor chapter is one of the most internally constrained arguments in fiction. Every brother is a complete philosophy."
Crime and Punishment,Fyodor Dostoevsky,Fiction,Public Domain,"The entire novel is a syllogism. Raskolnikov's theory is tested by the murder."
The Idiot,Fyodor Dostoevsky,Fiction,Public Domain,"What happens when a genuinely good person enters a corrupt system. The structure is the impossibility proof."
Metamorphosis,Franz Kafka,Fiction,Public Domain,"The premise is the argument. Everything follows from the first sentence."
The Turn of the Screw,Henry James,Fiction,Public Domain,"Ambiguity as structural principle — the frame makes it unresolvable by design."
Stories (selected),Flannery O'Connor,Fiction,Need to Source,"""Everything That Rises Must Converge,"" ""A Good Man Is Hard to Find"""
Siddhartha,Hermann Hesse,Fiction,Public Domain,"Each chapter is a complete argument that the next chapter undoes. The structure IS the teaching."
The Death of Ivan Ilyich,Leo Tolstoy,Fiction,Public Domain,"Begins with the death. Everything after that is constrained by what you already know."
Billy Budd,Herman Melville,Fiction,Public Domain,"The stutter is the whole argument. Beauty can't speak in its own defense."
A Christmas Carol,Charles Dickens,Fiction,Public Domain,"Tight structure — three spirits, each a proof. Every scene earns the ending."
Anna Karenina,Leo Tolstoy,Fiction,Public Domain,"The dual structure (Anna/Levin) constrains both halves. The opening sentence is earned by the entire novel."
War and Peace,Leo Tolstoy,Fiction,Public Domain,"The philosophy-of-history chapters are internally constrained arguments. The scope IS the method."
Pride and Prejudice,Jane Austen,Fiction,Public Domain,"Every sentence is social analysis. The irony is structural."
Persuasion,Jane Austen,Fiction,Public Domain,"Her most compressed novel. The letter is earned by the entire book."
Middlemarch,George Eliot,Fiction,Public Domain,"Every subplot constrains every other. The web structure IS the argument about how lives interconnect."
Wuthering Heights,Emily Brontë,Fiction,Public Domain,"Nested narrators constrain meaning. The moors are structural, not decorative."
Jane Eyre,Charlotte Brontë,Fiction,Public Domain,"The moral argument IS the plot structure. Every location is a moral proof."
