name,structural_integrity,cohesiveness,artistic_merit,teachability,mean_score,notes
1001 Nights (selected),4,4,5,5,4.50,Frame narrative IS the structure; tales within tales generate coherence
A.A. Milne - Winnie-the-Pooh,4,5,4,5,4.50,Perfect voice consistency; deceptive simplicity; highly teachable
Adam Smith - The Wealth of Nations (selections),3,4,2,3,3.00,Argumentative structure clear but not load-bearing; selections help
Aesop - Aesop's Fables,3,4,3,5,3.75,Form-content identity in miniature; great for pattern learning
Alexander von Humboldt - Views of Nature,4,4,4,4,4.00,Scientific observation as aesthetic practice; unified vision
Alexis de Tocqueville - Democracy in America (selections),4,4,3,3,3.50,Analytical structure strong; period-specific context needed
Anna Sewell - Black Beauty,3,4,3,4,3.50,First-person animal voice consistent throughout; clear moral structure
Antoine Lavoisier - Elements of Chemistry,4,4,3,4,3.75,Scientific reasoning as structural principle; precise
Aristophanes - The Birds,4,4,4,4,4.00,Comic structure load-bearing; chorus work excellent
Aristophanes - The Frogs,4,4,5,4,4.25,Literary criticism embedded in comedy; meta-structural
Aristotle - Historia Animalium,3,4,2,3,3.00,Taxonomic structure inherited; observational quality high
Aristotle - Nicomachean Ethics,5,5,4,4,4.50,Argumentative structure exemplary; each step necessary
Aristotle - Poetics,5,5,4,5,4.75,Structure IS the argument about structure; self-referential coherence
Arthur Waley - A Hundred and Seventy Chinese Poems,3,3,5,4,3.75,Translation quality extraordinary; anthology structure loose
Arthur Waley - More Translations from the Chinese,3,3,4,4,3.50,Same quality; slightly less essential selection
Arthur Waley - The Poet Li Po,3,4,4,4,3.75,Focused selection gives coherence; translation excellence
Augustine - Confessions,5,5,5,4,4.75,Structure enacts the conversion it describes; form IS content
Basho - Narrow Road to the Deep North,5,5,5,5,5.00,Every word load-bearing; travel structure generates insight; perfect austerity
Behn - Oroonoko (Works Vol V),3,3,4,3,3.25,Early novel; narrative structure competent; voice distinctive
Benjamin Franklin - The Autobiography of Benjamin Franklin,3,4,3,4,3.50,Practical voice consistent; structure chronological not architectural
Beowulf (Old English),5,5,5,4,4.75,Alliterative structure load-bearing; Old English adds difficulty
Bhagavad Gita,5,5,5,5,5.00,Dialogue structure generates philosophy; every verse necessary
Blaise Pascal - Pensées,4,3,5,4,4.00,Fragmentary by nature but each fragment self-contained; brilliant
Boethius - The Consolation of Philosophy,5,5,4,4,4.50,Prose-verse alternation IS the argument; form enacts consolation
Book of Songs (Shijing),4,4,5,4,4.25,Formulaic structure is the tradition; ancient lyric at its source
Brothers Grimm - Grimm's Fairy Tales,3,4,4,5,4.00,Folk structure highly teachable; variation within formula
Cao Xueqin - Dream of the Red Chamber (Vol. 1),5,5,5,3,4.50,Structural complexity extraordinary; cultural context needed
Cao Xueqin - Dream of the Red Chamber (Vol. 2),5,5,5,3,4.50,Continuation; same qualities
Carl von Clausewitz - On War,4,4,3,3,3.50,Systematic but unfinished; dialectical method clear
Carlo Collodi - Pinocchio,4,4,4,5,4.25,Transformation narrative tightly structured; morality embedded in form
Cather - O Pioneers,4,5,4,4,4.25,Landscape-character unity; Cather's compression admirable
Charles Darwin - On the Origin of Species (1859),5,5,4,4,4.50,Argument structure exemplary; each chapter builds on previous
Charles Darwin - The Voyage of the Beagle (1839),3,4,4,4,3.75,Observation journal; coherent voice not architectural structure
Charles Dickens - A Christmas Carol,4,5,4,5,4.50,Tight novella; temporal structure load-bearing; complete
Charles Kingsley - The Water-Babies,3,3,3,4,3.25,Victorian children's lit; moralizing strains coherence
Charlotte Brontë - Jane Eyre,4,5,5,4,4.50,Voice carries everything; structure serves bildungsroman perfectly
Chopin - The Awakening,5,5,5,4,4.75,Every element converges on the ending; sea imagery structural
Confucius - The Analects,4,4,4,4,4.00,Fragmentary but each fragment self-contained; compilation coherence
D'Arcy Wentworth Thompson - On Growth and Form (1917),5,4,4,4,4.25,Mathematical structure IS biological argument; unique
Daniel Defoe - Robinson Crusoe,3,4,3,4,3.50,Practical narrative voice consistent; structure chronological
Dante - Divine Comedy,5,5,5,4,4.75,Terza rima IS the journey; numerological structure load-bearing
David Hume - An Enquiry Concerning Human Understanding,5,5,4,4,4.50,Argumentative structure exemplary; each section necessary
David Hume - Dialogues Concerning Natural Religion,5,5,4,4,4.50,Dialogue structure generates philosophy; voices distinct
Dhammapada,5,5,5,5,5.00,Perfect compression; each verse self-contained; pure teachability
Dorothy Wordsworth - Journals Vol. 1,3,4,4,4,3.75,Observational prose; consistent quality; journal structure loose
E. Nesbit - The Railway Children,3,4,3,4,3.50,Children's adventure; warm consistent voice; lighter structure
Edgar Allan Poe - The Philosophy of Composition,5,5,4,5,4.75,Meta-structural: essay about structure IS perfectly structured
Edward Gibbon - The Decline and Fall of the Roman Empire (selections),4,5,4,3,4.00,Gibbon's style is the achievement; selections needed for scale
Edwin Abbott - Flatland,5,5,4,5,4.75,Constraint generates ALL content; perfect structural experiment
Elias Lönnrot (compiled) - Kalevala,4,4,5,3,4.00,Epic structure traditional; linguistic texture extraordinary
Emily Brontë - Wuthering Heights,5,5,5,4,4.75,Nested narration IS the content; temporal structure load-bearing
Emily Dickinson - Complete Poems,5,5,5,5,5.00,Every dash load-bearing; compression as art; anchor text
English Words with Latin and Greek Roots,2,4,1,4,2.75,Reference material; no artistic merit; useful for morphological patterns
Epictetus - The Discourses,3,4,4,4,3.75,Practical philosophy; consistent voice; lecture structure loose
F. Scott Fitzgerald - The Great Gatsby,5,5,5,5,5.00,Anchor text; every paragraph necessary; compression exemplary
Florence Ayscough - Fir-Flower Tablets,3,3,4,4,3.50,Translation collection; quality good; anthology structure loose
Frances Hodgson Burnett - A Little Princess,3,4,3,4,3.50,Children's lit; warm voice; competent structure
Frances Hodgson Burnett - The Secret Garden,4,4,4,4,4.00,Transformation parallels garden/children; structure serves theme
Franz Kafka - Metamorphosis,5,5,5,5,5.00,Anchor text; premise generates everything; irreducible
Franz Kafka - The Trial,5,5,5,4,4.75,Bureaucratic labyrinth IS the form; incomplete but complete
Frederick Douglass - Narrative of the Life of Frederick Douglass,5,5,5,5,5.00,Every sentence load-bearing; freedom IS the structure; witness as formal achievement
Friedrich Nietzsche - Beyond Good and Evil,5,4,5,4,4.50,Aphoristic structure load-bearing; each section necessary
Friedrich Nietzsche - Ecce Homo,4,4,5,4,4.25,Self-portrait structure; voice extraordinary; occasionally indulgent
Friedrich Nietzsche - On the Genealogy of Morality,5,5,5,4,4.75,Three essays build dialectically; argumentative structure exemplary
Friedrich Nietzsche - The Gay Science,5,4,5,4,4.50,Aphoristic with architecture; scientific metaphor structural
Friedrich Nietzsche - Thus Spoke Zarathustra,5,5,5,4,4.75,Prophetic form IS the content; biblical structure inverted
Fyodor Dostoevsky - Crime and Punishment,5,5,5,4,4.75,Psychological structure generates plot; every scene necessary
Fyodor Dostoevsky - Demons (The Possessed),4,4,5,3,4.00,Political satire; complex structure; translation dependent
Fyodor Dostoevsky - Notes from Underground,5,5,5,5,5.00,Voice IS structure; self-contradiction as formal principle
Fyodor Dostoevsky - The Brothers Karamazov,5,5,5,3,4.50,Cathedral structure; Grand Inquisitor chapter load-bearing; length challenges teachability
Fyodor Dostoevsky - The Idiot,4,4,5,3,4.00,Character study; less structurally tight than Crime; powerful
Geoffrey Chaucer - The Canterbury Tales (Middle English),5,4,5,3,4.25,Frame narrative; Middle English adds difficulty; variety structural
George Berkeley - Three Dialogues Between Hylas and Philonous,5,5,4,5,4.75,Dialogue form IS the argument; highly teachable
George Eliot - Middlemarch,5,5,5,3,4.50,Web structure; every plot line connects; scale challenges teachability
George MacDonald - At the Back of the North Wind,3,4,3,4,3.50,Fantasy children's lit; allegorical structure
George MacDonald - The Princess and the Goblin,3,4,3,4,3.50,Children's fantasy; consistent tone; adventure structure
George Sand - Indiana,3,4,4,3,3.50,Early feminist novel; conventional structure; passionate voice
Gertrude Stein - Tender Buttons,5,5,5,4,4.75,Language IS the content; structure generates meaning; experimental anchor
Gertrude Stein - Three Lives,4,5,5,4,4.50,Repetition as structural principle; voice extraordinary
Gilbert White - The Natural History of Selborne,3,4,4,4,3.75,Epistolary natural history; consistent observational voice
Goethe - Theory of Colours,4,4,3,3,3.50,Systematic but contested; phenomenological method interesting
Greek Anthology Vol 1,3,3,4,4,3.50,Anthology; individual epigrams excellent; compilation structure loose
H.G. Wells - The Time Machine,4,4,4,5,4.25,Tight novella; sci-fi structure efficient; highly teachable
Henri Bergson - Creative Evolution,4,4,4,3,3.75,Philosophical argument sustained; élan vital metaphor structural
Henri Bergson - Time and Free Will,5,5,4,3,4.25,Duration argument IS the structure; requires philosophical context
Henri Poincaré - Science and Hypothesis,4,4,3,4,3.75,Clear scientific prose; each chapter builds
Henry David Thoreau - Civil Disobedience Walden,5,5,5,5,5.00,Walden: seasonal structure IS the argument; every sentence load-bearing
Henry James - The Turn of the Screw,5,5,5,5,5.00,Ambiguity IS the structure; frame narrative load-bearing
Herman Melville - Moby-Dick,5,4,5,3,4.25,Cetological chapters disrupt coherence BY DESIGN; encyclopedic structure
Hermann Hesse - Siddhartha,4,5,4,5,4.50,River metaphor IS structure; bildungsroman compressed; highly teachable
Herodotus - Histories (selections),3,3,4,3,3.25,Digressive structure; selections help; storytelling quality high
Homer - The Iliad,5,5,5,4,4.75,Epic structure exemplary; wrath theme unifies; translation dependent
Homer - The Odyssey,5,5,5,5,5.00,Return structure generates everything; oral formulae load-bearing
Immanuel Kant - Critique of Pure Reason (selections),5,5,3,2,3.75,Architectonic structure extraordinary; accessibility low
Immanuel Kant - The Fundamental Principles of the Metaphysic of Morals,5,5,3,3,4.00,Deductive structure rigorous; Kant's prose a barrier
Isaac Newton - Opticks,4,4,3,3,3.50,Experimental structure; methodical; period prose
J.M. Barrie - Peter Pan,4,4,4,5,4.25,Neverland logic consistent; voice carries everything; teachable
Jack London - Call of the Wild,4,5,4,5,4.50,Short; tight; animal consciousness voice consistent
Jack London - White Fang,3,4,3,4,3.50,Companion to Call; less compressed; competent
James Joyce - Dubliners,5,5,5,5,5.00,Each story structurally complete; epiphany structure; Dead is perfection
Jane Austen - Persuasion,5,5,5,4,4.75,Autumnal tone structural; free indirect discourse pioneering
Jane Austen - Pride and Prejudice,5,5,5,5,5.00,Ironic distance IS the structure; dialogue as revelation; perfect pacing
Jean Anthelme Brillat-Savarin - The Physiology of Taste,3,4,4,4,3.75,Gastronomy as philosophy; digressive but charming; voice consistent
Jean-Henri Fabre - The Life of the Spider,4,4,4,4,4.00,Scientific observation as narrative; consistent wonder
Jean-Jacques Rousseau - The Social Contract,4,4,3,3,3.50,Political argument structured; historical context needed
Jewett - The Country of the Pointed Firs,4,5,4,4,4.25,Place IS structure; episodic but unified by geography and voice
John Bunyan - The Pilgrim's Progress,4,4,4,4,4.00,Allegory IS structure; journey generates content
John Calvin - Institutes of the Christian Religion,4,4,3,2,3.25,Systematic theology; structure strong; context-dependent
John Henry Newman - Apologia Pro Vita Sua,4,5,4,3,4.00,Autobiography as argument; voice extraordinary
John Keats - Letters,4,4,5,5,4.50,Negative capability articulated IN the form; ideas emerge from correspondence
John Locke - Two Treatises of Government,4,4,2,3,3.25,Political philosophy; argumentative; historically important
John Milton - Areopagitica,5,5,4,4,4.50,Rhetoric structure exemplary; argument for freedom perfectly formed
John Milton - Paradise Lost,5,5,5,4,4.75,Blank verse structure IS the fall; syntax enacts content
John Stuart Mill - On Liberty,4,5,3,4,4.00,Clear argumentative structure; each chapter necessary
Jonathan Edwards - Selected Sermons,4,4,4,3,3.75,Sermonic structure; Sinners in the Hands of an Angry God extraordinary
Jonathan Swift - Gulliver's Travels,5,5,5,5,5.00,Satirical structure generates meaning; each voyage necessary
Joseph Conrad - Heart of Darkness,5,5,5,5,5.00,Frame narrative; river journey IS psychological descent; irreducible
José Raúl Capablanca - Chess Fundamentals,4,5,3,5,4.25,Instructional structure exemplary; each chapter builds; constraint-thinking transferable
Julian of Norwich - Revelations of Divine Love,4,5,5,4,4.50,Mystical experience structured as revelation; voice singular
Juvenal - Satires,4,4,4,3,3.75,Satirical form; Roman context helpful; verse structure strong
Kakuzō Okakura - The Book of Tea,5,5,5,5,5.00,Tea ceremony IS the philosophy; every paragraph necessary; perfect compression
Karl Marx & Friedrich Engels - The Communist Manifesto,5,5,4,4,4.50,Rhetorical structure exemplary; builds to inevitable conclusion
Kenneth Grahame - Wind in the Willows,4,5,4,5,4.50,River bank IS the world; voice carries everything; pastoral coherence
L. Frank Baum - The Wonderful Wizard of Oz,3,4,3,5,3.75,Journey structure clear; simple voice; highly teachable
L.M. Montgomery - Anne of Green Gables,4,5,4,5,4.50,Voice IS the book; Anne's language creates the world
La Rochefoucauld - Maxims,5,5,5,5,5.00,Each maxim structurally complete; compression exemplary; self-contained
Laozi - Tao Te Ching,5,5,5,5,5.00,Perfect austerity; paradox IS the form; every character necessary
Laurence Sterne - The Life and Opinions of Tristram Shandy,5,4,5,3,4.25,Digression IS the structure; self-aware narrative; difficulty high
Leo Tolstoy - Anna Karenina,5,5,5,3,4.50,Dual plot structure; opening sentence exemplary; scale challenges teachability
Leo Tolstoy - War and Peace,5,4,5,2,4.00,Epic scope; philosophical digressions strain cohesiveness; scale issue
Lewis Carroll - Alice in Wonderland,5,5,5,5,5.00,Logic IS the nonsense; every scene generates from premise
Lewis Carroll - Through the Looking-Glass,5,5,5,5,5.00,Chess structure IS the narrative; mirror logic consistent
Lucretius - On the Nature of Things,5,5,4,3,4.25,Philosophical poem; argument in verse; Epicurean physics structural
Luo Guanzhong - Romance of the Three Kingdoms,4,4,4,3,3.75,Historical epic; complex; cultural context helpful
Marcus Aurelius - Meditations,3,3,4,4,3.50,Fragmentary; repetitive; each thought self-contained; calibration text
Margaret Fuller - Summer on the Lakes,3,3,3,3,3.00,Travel writing; mixed forms; interesting but uneven
Margaret Fuller - Woman in the Nineteenth Century,4,4,4,3,3.75,Feminist argument sustained; period context needed
Margery Williams - The Velveteen Rabbit,4,5,4,5,4.50,Transformation theme structurally complete; brief; perfect voice
Mark Twain - Adventures of Huckleberry Finn,5,5,5,5,5.00,Voice IS America; river IS structure; vernacular as formal achievement
Martin Luther - Concerning Christian Liberty,4,4,3,3,3.50,Theological argument clear; historical context needed
Mary Shelley - Frankenstein,5,5,5,4,4.75,Nested frame narrative structural; creation theme self-referential
Mary Somerville - On the Connexion of the Physical Sciences,3,4,3,3,3.25,Scientific synthesis; clear but period-bound
Mary Wollstonecraft - A Vindication of the Rights of Woman,4,4,4,3,3.75,Argument structure strong; rhetorical achievement
Michael Faraday - The Chemical History of a Candle (1861),4,5,4,5,4.50,Lecture structure perfect; candle generates all content; highly teachable
Michel de Montaigne - Essays,5,4,5,4,4.50,Digressive structure IS the method; self-portrait through essays
Miguel de Cervantes - Don Quixote,5,5,5,4,4.75,Novel invents itself; meta-fictional structure load-bearing
Molière - Tartuffe,5,5,5,5,5.00,Comic structure perfect; every scene builds; hypocrisy theme formal
Murasaki Shikibu - The Tale of Genji,5,5,5,3,4.50,Psychological novel before the form existed; seasonal structure; cultural context needed
Niccolò Machiavelli - The Prince,5,5,4,4,4.50,Political argument compressed; each chapter necessary; pragmatic structure
Oliver Wendell Holmes Jr. - The Common Law,4,5,3,3,3.75,Legal reasoning as prose; argument sustained; specialized
Oscar Wilde - De Profundis,5,5,5,4,4.75,Prison letter; suffering generates form; voice irreducible
Oscar Wilde - The Importance of Being Earnest,5,5,5,5,5.00,Every line load-bearing; wit IS structure; comic perfection
Ovid - Metamorphoses,5,5,5,4,4.75,Transformation IS the structure; stories flow into each other
Paulo Freire - Pedagogy of the Oppressed,4,4,4,4,4.00,Praxis concept enacted in argument structure; dialogical method
Plato - Apology Phaedo Republic Symposium Meno Gorgias Theaetetus,5,5,5,5,5.00,Dialogue form generates philosophy; dramatic structure load-bearing
Pliny the Elder - Natural History (selections),3,3,3,3,3.00,Encyclopedic; selections help; wonder compensates for structure
Pu Songling - Strange Stories from a Chinese Studio,3,4,4,4,3.75,Short story collection; individual stories excellent; compilation loose
R.L. Stevenson - Kidnapped,3,4,3,4,3.50,Adventure narrative; competent structure; consistent voice
